,Unnamed: 0,smoothness_mean,compactness_mean,symmetry_mean,fractal_dimension_mean,texture_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,texture_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
87,87,0.09029,0.1206,0.1953,0.05629,0.6636,57.65,0.003872,0.01842,0.0371,0.012,0.01964,0.003337,30.41,1623.0,0.1249,0.3206,0.5755,0.1956,0.3956,0.09288
313,313,0.08597,0.05969,0.1833,0.061,0.3602,9.438,0.004124,0.0134,0.01003,0.004667,0.02032,0.001952,12.87,467.8,0.1092,0.1626,0.08324,0.04715,0.339,0.07434
478,478,0.1046,0.08228,0.1779,0.06574,1.166,14.34,0.004957,0.02114,0.04156,0.008038,0.01843,0.003614,21.9,467.6,0.1352,0.201,0.2596,0.07431,0.2941,0.0918
73,73,0.1007,0.128,0.1662,0.06566,0.6205,23.35,0.004717,0.02065,0.01759,0.009206,0.0122,0.00313,20.86,812.4,0.1411,0.3542,0.2779,0.1383,0.2589,0.103
550,550,0.07431,0.04227,0.1661,0.05948,1.304,20.67,0.009579,0.01104,0.0,0.0,0.03004,0.002228,24.77,412.3,0.1001,0.07348,0.0,0.0,0.2458,0.06592
407,407,0.07551,0.08316,0.158,0.06114,1.798,41.24,0.006011,0.0448,0.05175,0.01341,0.02669,0.007731,27.01,645.8,0.09402,0.1936,0.1838,0.05601,0.2488,0.08151
289,289,0.08713,0.05008,0.2013,0.05955,1.974,17.49,0.006538,0.01395,0.01376,0.009924,0.03416,0.002928,26.14,459.3,0.1118,0.09708,0.07529,0.06203,0.3267,0.06994
417,417,0.112,0.1571,0.2085,0.06864,1.213,176.5,0.008198,0.03889,0.04493,0.02139,0.02018,0.005815,27.65,1748.0,0.1517,0.4002,0.4211,0.2134,0.3003,0.1048
253,253,0.1008,0.1041,0.1813,0.05613,0.8568,33.63,0.004757,0.01503,0.02332,0.01262,0.01394,0.002362,25.09,1222.0,0.1416,0.2405,0.3378,0.1857,0.3138,0.08113
411,411,0.1077,0.07804,0.1714,0.0634,1.387,13.54,0.005158,0.009355,0.01056,0.007483,0.01718,0.002198,26.44,471.4,0.1369,0.1482,0.1067,0.07431,0.2998,0.07881
124,124,0.07115,0.07325,0.1422,0.05823,1.14,14.66,0.005919,0.0327,0.04957,0.01038,0.01208,0.004076,22.75,632.1,0.1025,0.2531,0.3308,0.08978,0.2048,0.07628
559,559,0.09261,0.1021,0.1388,0.0657,2.904,16.97,0.0082,0.02982,0.05738,0.01267,0.01488,0.004738,37.16,474.2,0.1298,0.2517,0.363,0.09653,0.2112,0.08732
536,536,0.1038,0.1154,0.1926,0.05982,1.851,18.54,0.006113,0.02583,0.04645,0.01276,0.01451,0.003756,34.27,728.3,0.138,0.2733,0.4234,0.1362,0.2698,0.08351
51,51,0.07685,0.06059,0.1353,0.05953,0.9234,14.55,0.004477,0.01177,0.01079,0.007956,0.01325,0.002551,23.19,656.7,0.1089,0.1582,0.105,0.08586,0.2346,0.08025
188,188,0.1007,0.05562,0.1718,0.0578,1.926,14.47,0.007831,0.008776,0.01556,0.00624,0.03139,0.001988,26.48,489.5,0.1356,0.1,0.08803,0.04306,0.32,0.06576
20,20,0.1075,0.127,0.1967,0.06811,0.7477,14.67,0.004097,0.01898,0.01698,0.00649,0.01678,0.002425,20.49,630.5,0.1312,0.2776,0.189,0.07283,0.3184,0.08183
476,476,0.08931,0.1108,0.1506,0.06009,1.018,31.01,0.004107,0.03288,0.02821,0.0135,0.0161,0.002744,27.26,828.5,0.1153,0.3429,0.2512,0.1339,0.2534,0.07858
321,321,0.0802,0.08564,0.1928,0.05096,0.6863,74.85,0.004536,0.01376,0.02645,0.01247,0.02193,0.001589,23.03,1657.0,0.1054,0.1537,0.2606,0.1425,0.3055,0.05933
163,163,0.1012,0.1015,0.1551,0.06761,1.656,21.55,0.01134,0.03175,0.03125,0.01135,0.01879,0.005348,28.68,553.0,0.1452,0.2338,0.1688,0.08194,0.2268,0.09082
90,90,0.08974,0.08606,0.1685,0.05866,1.111,33.76,0.004868,0.01818,0.01121,0.008606,0.02085,0.002893,29.11,803.7,0.1115,0.1766,0.09189,0.06946,0.2522,0.07246
551,551,0.09566,0.08194,0.203,0.06552,1.467,17.85,0.003495,0.03051,0.03445,0.01024,0.02912,0.004723,28.26,436.6,0.1087,0.1782,0.1564,0.06413,0.3169,0.08032
408,408,0.1036,0.1304,0.1992,0.06069,0.8733,49.81,0.007231,0.02772,0.02509,0.0148,0.01414,0.003336,25.41,1349.0,0.1482,0.3735,0.3301,0.1974,0.306,0.08503
556,556,0.1003,0.07504,0.1791,0.06331,2.09,16.8,0.01291,0.02222,0.004174,0.007082,0.02572,0.002278,22.88,347.3,0.1265,0.12,0.01005,0.02232,0.2262,0.06742
187,187,0.09774,0.06141,0.1516,0.06095,0.7655,17.86,0.006905,0.008704,0.01978,0.01185,0.01897,0.001671,21.39,521.5,0.1323,0.104,0.1521,0.1099,0.2572,0.07097
86,86,0.09444,0.09947,0.2075,0.05636,2.22,38.87,0.009369,0.02983,0.05371,0.01761,0.02418,0.003249,29.25,808.9,0.1306,0.1976,0.3349,0.1225,0.302,0.06846
88,88,0.08772,0.09445,0.193,0.06404,1.502,20.95,0.007112,0.02493,0.02703,0.01293,0.01958,0.004463,30.5,574.7,0.1304,0.2463,0.2434,0.1205,0.2972,0.09261
421,421,0.1031,0.1836,0.2086,0.07406,1.511,49.45,0.009976,0.05244,0.05278,0.0158,0.02653,0.005444,18.34,809.2,0.1312,0.3635,0.3219,0.1108,0.2827,0.09208
381,381,0.07987,0.07079,0.2003,0.06246,1.031,11.68,0.005296,0.01903,0.01723,0.00696,0.0188,0.001941,20.83,447.1,0.1095,0.1982,0.1553,0.06754,0.3202,0.07287
338,338,0.1007,0.07326,0.189,0.06331,2.015,16.85,0.007803,0.01449,0.0169,0.008043,0.021,0.002778,26.84,384.0,0.1402,0.1402,0.1055,0.06499,0.2894,0.07664
427,427,0.08801,0.05743,0.2016,0.05977,1.621,20.2,0.006543,0.02148,0.02991,0.01045,0.01844,0.00269,32.04,489.5,0.1303,0.1696,0.1927,0.07485,0.2965,0.07662
264,264,0.09726,0.08995,0.1867,0.0558,0.7383,45.42,0.004493,0.01206,0.02048,0.009875,0.01144,0.001575,29.33,1436.0,0.1558,0.2567,0.3889,0.1984,0.3216,0.0757
140,140,0.0925,0.04102,0.1903,0.06422,0.496,12.26,0.00604,0.005656,0.0,0.0,0.02277,0.00322,14.1,342.9,0.1234,0.07204,0.0,0.0,0.3105,0.08151
152,152,0.1072,0.1599,0.2548,0.09296,2.664,49.85,0.01097,0.09586,0.396,0.05279,0.03546,0.02984,19.49,380.5,0.1292,0.2772,0.8216,0.1571,0.3108,0.1259
115,115,0.09768,0.07849,0.1688,0.06194,0.9227,24.79,0.007803,0.02507,0.01835,0.007711,0.01278,0.003856,26.15,583.0,0.15,0.2399,0.1503,0.07247,0.2438,0.08541
212,212,0.1142,0.1516,0.1648,0.05525,1.476,525.6,0.01345,0.02772,0.06389,0.01407,0.04783,0.004476,18.47,2499.0,0.1142,0.1516,0.3201,0.1595,0.1648,0.05525
420,420,0.08546,0.07722,0.2031,0.06267,1.44,20.3,0.007278,0.02047,0.04447,0.008799,0.01868,0.003339,26.98,520.5,0.1249,0.1937,0.256,0.06664,0.3035,0.08284
351,351,0.1243,0.2364,0.2375,0.07603,1.324,51.22,0.009329,0.06559,0.09953,0.02283,0.05543,0.00733,24.17,915.3,0.155,0.5046,0.6872,0.2135,0.4245,0.105
348,348,0.09076,0.05886,0.1634,0.06372,0.7615,12.25,0.009191,0.008548,0.0094,0.006315,0.01755,0.003009,20.79,475.8,0.1531,0.112,0.09823,0.06548,0.2851,0.08763
546,546,0.09434,0.04994,0.1885,0.06201,0.967,12.97,0.007086,0.007247,0.01012,0.005495,0.0156,0.002606,21.77,384.9,0.1285,0.08842,0.04384,0.02381,0.2681,0.07399
344,344,0.115,0.07281,0.2009,0.06506,0.7395,24.53,0.009536,0.01097,0.01651,0.01121,0.01953,0.0031,18.16,516.4,0.146,0.1115,0.1087,0.07864,0.2765,0.07806
170,170,0.1028,0.06981,0.1959,0.05955,0.6656,17.43,0.008045,0.0118,0.01683,0.01241,0.01924,0.002248,15.64,549.1,0.1385,0.1266,0.1242,0.09391,0.2827,0.06771
158,158,0.09311,0.05241,0.159,0.05907,0.7285,13.25,0.005528,0.009789,0.008342,0.006273,0.01465,0.00253,18.41,532.8,0.1275,0.1232,0.08636,0.07025,0.2514,0.07898
281,281,0.07813,0.0434,0.2101,0.06113,1.268,37.83,0.008034,0.01442,0.01514,0.01846,0.02921,0.002005,18.26,533.7,0.1036,0.085,0.06735,0.0829,0.3101,0.06688
52,52,0.08261,0.04751,0.1868,0.0611,0.6329,17.47,0.00721,0.00838,0.01311,0.008,0.01996,0.002635,21.33,527.2,0.1144,0.08906,0.09203,0.06296,0.2785,0.07408
296,296,0.08518,0.04721,0.1449,0.06031,1.027,11.09,0.003478,0.01221,0.01072,0.009393,0.02941,0.003428,14.82,392.2,0.09312,0.07506,0.02884,0.03194,0.2143,0.06643
547,547,0.08877,0.08066,0.1669,0.06714,1.023,7.326,0.01027,0.03084,0.02613,0.01097,0.02277,0.00589,22.04,357.4,0.1461,0.2246,0.1783,0.08333,0.2691,0.09479
132,132,0.1008,0.1284,0.216,0.05891,1.265,43.68,0.004877,0.01952,0.02219,0.009231,0.01535,0.002373,31.68,1175.0,0.1395,0.3055,0.2992,0.1312,0.348,0.07619
469,469,0.1175,0.1483,0.1957,0.07255,1.74,27.85,0.01459,0.03206,0.04961,0.01841,0.01807,0.005217,25.4,528.1,0.178,0.2878,0.3186,0.1416,0.266,0.0927
541,541,0.08837,0.123,0.1872,0.06341,1.079,23.11,0.007138,0.04653,0.03829,0.01162,0.02068,0.006111,31.73,808.9,0.134,0.4202,0.404,0.1205,0.3187,0.1023
113,113,0.1122,0.1303,0.1922,0.07782,1.86,19.91,0.01188,0.03747,0.04591,0.01544,0.02287,0.006792,22.75,374.4,0.13,0.2049,0.1295,0.06136,0.2383,0.09026
531,531,0.1016,0.09453,0.1859,0.06461,0.8745,15.34,0.005251,0.01727,0.0184,0.005298,0.01449,0.002671,28.81,550.6,0.155,0.2964,0.2758,0.0812,0.3206,0.0895
219,219,0.0842,0.113,0.1428,0.05313,1.321,109.9,0.005539,0.02644,0.02664,0.01078,0.01332,0.002256,45.41,2477.0,0.1408,0.4097,0.3995,0.1625,0.2713,0.07568
300,300,0.115,0.1642,0.1792,0.06552,1.161,133.0,0.006056,0.03203,0.05638,0.01733,0.01884,0.004787,26.24,2053.0,0.1495,0.4116,0.6121,0.198,0.2968,0.09929
350,350,0.07561,0.0363,0.1671,0.05731,0.6724,26.03,0.006583,0.006991,0.005949,0.006296,0.02216,0.002668,19.74,542.5,0.09958,0.06476,0.03046,0.04262,0.2731,0.06825
512,512,0.1106,0.1469,0.2116,0.07325,0.9306,33.67,0.005414,0.02265,0.03452,0.01334,0.01705,0.004005,29.66,844.4,0.1574,0.3856,0.5106,0.2051,0.3585,0.1109
25,25,0.1186,0.2276,0.304,0.07413,0.976,111.4,0.008029,0.03799,0.03732,0.02397,0.02308,0.007444,21.4,1461.0,0.1545,0.3949,0.3853,0.255,0.4066,0.1059
246,246,0.07215,0.04524,0.1487,0.05635,1.601,13.56,0.006261,0.01569,0.03079,0.005383,0.01962,0.00225,27.82,602.0,0.1101,0.1508,0.2298,0.0497,0.2767,0.07198
369,369,0.1063,0.1954,0.1824,0.0614,0.6999,130.2,0.003978,0.02821,0.03576,0.01471,0.01518,0.003796,25.8,2227.0,0.1294,0.3885,0.4756,0.2432,0.2741,0.08574
364,364,0.07937,0.05696,0.165,0.05701,0.6124,13.22,0.004394,0.0125,0.01451,0.005484,0.01291,0.002074,21.7,663.5,0.1213,0.1676,0.1364,0.06987,0.2741,0.07582
172,172,0.1257,0.1555,0.1966,0.07069,0.6583,44.64,0.005393,0.02321,0.04303,0.0132,0.01792,0.004168,17.04,1102.0,0.1531,0.3583,0.583,0.1827,0.3216,0.101
287,287,0.06955,0.03729,0.1337,0.05581,0.469,12.68,0.004731,0.01345,0.01652,0.005905,0.01619,0.002081,15.54,577.0,0.09616,0.1147,0.1186,0.05366,0.2309,0.06915
37,37,0.08983,0.03766,0.1467,0.05863,2.342,14.16,0.004352,0.004899,0.01343,0.01164,0.02671,0.001777,22.81,545.9,0.09701,0.04619,0.04833,0.05013,0.1987,0.06169
173,173,0.1006,0.05743,0.1566,0.06669,1.805,19.08,0.01496,0.02121,0.01453,0.01583,0.03082,0.004785,16.82,396.5,0.1216,0.0824,0.03938,0.04306,0.1902,0.07313
0,0,0.1184,0.2776,0.2419,0.07871,0.9053,153.4,0.006399,0.04904,0.05373,0.01587,0.03003,0.006193,17.33,2019.0,0.1622,0.6656,0.7119,0.2654,0.4601,0.1189
479,479,0.1026,0.1893,0.2151,0.06578,0.9857,33.12,0.009197,0.0547,0.08079,0.02215,0.02773,0.006355,23.05,939.7,0.1377,0.4462,0.5897,0.1775,0.3318,0.09136
235,235,0.0907,0.06945,0.1517,0.05835,1.503,22.07,0.007389,0.01383,0.007302,0.01004,0.01263,0.002925,30.28,715.5,0.1287,0.1513,0.06231,0.07963,0.2226,0.07617
412,412,0.07969,0.06053,0.1274,0.06724,1.182,6.802,0.005515,0.02674,0.03735,0.005128,0.01951,0.004583,27.99,301.0,0.1086,0.1887,0.1868,0.02564,0.2376,0.09206
149,149,0.07944,0.06376,0.1473,0.0558,0.7574,21.47,0.002838,0.01592,0.0178,0.005828,0.01329,0.001976,22.46,725.9,0.09711,0.1824,0.1564,0.06019,0.235,0.07014
195,195,0.07941,0.05366,0.1829,0.05667,0.9086,15.75,0.005298,0.01587,0.02321,0.00842,0.01853,0.002152,22.0,600.6,0.1097,0.1506,0.1764,0.08235,0.3024,0.06949
553,553,0.0924,0.05605,0.1692,0.06576,1.879,17.86,0.01094,0.01834,0.03996,0.01282,0.03759,0.004623,25.05,295.8,0.1103,0.08298,0.07993,0.02564,0.2435,0.07393
484,484,0.1043,0.1299,0.1784,0.06259,0.3871,13.87,0.006034,0.0182,0.03336,0.01067,0.01175,0.002256,14.2,854.3,0.1541,0.2979,0.4004,0.1452,0.2557,0.08181
103,103,0.1005,0.09697,0.1945,0.06322,1.222,11.77,0.009058,0.02196,0.03029,0.01112,0.01609,0.00357,26.83,361.2,0.1559,0.2302,0.2644,0.09749,0.2622,0.0849
514,514,0.09215,0.08597,0.1561,0.05915,1.198,38.49,0.004952,0.0163,0.02967,0.009423,0.01152,0.001718,28.06,967.0,0.1246,0.2101,0.2866,0.112,0.2282,0.06954
233,233,0.09159,0.1074,0.1448,0.05592,1.189,70.01,0.00502,0.02062,0.03457,0.01091,0.01298,0.002887,37.38,1872.0,0.1223,0.2761,0.4146,0.1563,0.2437,0.08328
133,133,0.09462,0.09462,0.1816,0.05723,0.8155,27.94,0.005217,0.01515,0.01678,0.01268,0.01669,0.00233,19.25,922.8,0.1223,0.1949,0.1709,0.1374,0.2723,0.07071
215,215,0.1026,0.1517,0.2106,0.06916,1.194,22.69,0.00596,0.03438,0.03909,0.01435,0.01939,0.00456,26.93,750.1,0.146,0.437,0.4636,0.1654,0.363,0.1059
267,267,0.07956,0.08259,0.1635,0.05859,1.916,26.76,0.005436,0.02406,0.03099,0.009919,0.0203,0.003009,30.04,661.5,0.1005,0.173,0.1453,0.06189,0.2446,0.07024
143,143,0.08677,0.09509,0.1778,0.06235,0.7712,16.64,0.005324,0.01563,0.0151,0.007584,0.02104,0.001887,21.82,643.8,0.1312,0.2548,0.209,0.1012,0.3549,0.08118
307,307,0.07005,0.03116,0.1788,0.06833,1.305,9.789,0.007389,0.004883,0.003681,0.003472,0.02701,0.002153,20.07,285.5,0.09861,0.05232,0.01472,0.01389,0.2991,0.07804
200,200,0.09586,0.08087,0.1979,0.06013,1.326,27.24,0.007514,0.01779,0.01401,0.0114,0.01503,0.003338,28.36,638.4,0.1429,0.2042,0.1377,0.108,0.2668,0.08174
89,89,0.1132,0.1339,0.2116,0.06346,0.7372,42.76,0.005508,0.04412,0.04436,0.01623,0.02427,0.004841,18.24,803.6,0.1277,0.3089,0.2604,0.1397,0.3151,0.08473
273,273,0.09037,0.04689,0.2081,0.06312,1.409,16.39,0.0138,0.01067,0.008347,0.009472,0.01798,0.004261,20.88,355.2,0.1467,0.0937,0.04043,0.05159,0.2841,0.08175
262,262,0.08999,0.1273,0.2108,0.05464,1.633,90.94,0.006717,0.05981,0.04638,0.02149,0.02747,0.005838,27.24,1295.0,0.1134,0.2867,0.2298,0.1528,0.3067,0.07484
451,451,0.1032,0.09871,0.1663,0.05391,1.375,56.18,0.0119,0.01929,0.04907,0.01499,0.01641,0.001807,30.96,1421.0,0.1528,0.1845,0.3977,0.1466,0.2293,0.06091
141,141,0.09721,0.1137,0.1861,0.06248,1.332,74.08,0.00677,0.01938,0.03067,0.01167,0.01875,0.003434,25.27,1233.0,0.1314,0.2236,0.2802,0.1216,0.2792,0.08158
409,409,0.08685,0.06526,0.1966,0.05597,1.781,25.79,0.005888,0.0231,0.02059,0.01075,0.02578,0.002267,28.88,610.2,0.124,0.1795,0.1377,0.09532,0.3455,0.06896
249,249,0.1013,0.07808,0.1883,0.06168,1.038,18.62,0.006662,0.01228,0.02105,0.01006,0.01677,0.002784,21.19,491.8,0.1389,0.1582,0.1804,0.09608,0.2664,0.07809
26,26,0.1054,0.1868,0.2252,0.06924,0.9832,21.05,0.004452,0.03055,0.02681,0.01352,0.01454,0.003711,33.21,896.9,0.1525,0.6643,0.5539,0.2701,0.4264,0.1275
288,288,0.0802,0.1181,0.2595,0.06233,1.905,34.68,0.01574,0.08262,0.08099,0.03487,0.03418,0.006517,22.33,437.6,0.1028,0.1843,0.1546,0.09314,0.2955,0.07009
13,13,0.08401,0.1002,0.1847,0.05338,1.078,36.58,0.009769,0.03126,0.05051,0.01992,0.02981,0.003002,27.66,876.5,0.1131,0.1924,0.2322,0.1119,0.2809,0.06287
